x,y
-0.500000,-0.500000
-0.750000,-0.750000
0.125000,-0.875000
-0.437500,-0.937500
-0.718750,-0.968750
-0.859375,-0.984375
0.070313,-0.992188
0.535156,-0.996094
0.767578,-0.998047
0.883789,-0.999023
-0.058105,-0.999512
-0.529053,-0.999756
0.235474,-0.999878
0.617737,-0.999939
0.308868,0.000031
0.154434,0.500015
0.577217,-0.249992
0.288609,0.375004
-0.355696,-0.312498
0.322152,-0.656249
-0.338924,-0.828125
-0.169462,0.085938
-0.084731,0.542969
-0.542365,-0.228516
-0.271183,0.385742
-0.135591,0.692871
-0.067796,0.846436
-0.533898,-0.076782
-0.266949,0.461609
-0.633474,-0.269196
-0.816737,-0.634598
-0.908369,-0.817299
-0.454184,0.091351
-0.227092,0.545675
-0.113546,0.772838
-0.056773,0.886419
-0.528387,-0.056791
-0.264193,0.471605
-0.632097,-0.264198
0.183952,-0.632099
0.591976,-0.816049
0.795988,-0.908025
-0.102006,-0.954012
-0.051003,0.022994
0.474498,-0.488503
0.737249,-0.744252
-0.131375,-0.872126
0.434312,-0.936063
0.217156,0.031969
0.608578,-0.484016
-0.195711,-0.742008
-0.097855,0.128996
-0.048928,0.564498
0.475536,-0.217751
-0.262232,-0.608875
-0.131116,0.195562
-0.065558,0.597781
-0.032779,0.798891
-0.016389,0.899445
-0.508195,-0.050277
0.245903,-0.525139
-0.377049,-0.762569
-0.688524,-0.881285
-0.844262,-0.940642
-0.422131,0.029679
0.288934,-0.485161
0.644467,-0.742580
-0.177766,-0.871290
-0.588883,-0.935645
-0.294442,0.032177
0.352779,-0.483911
0.176390,0.258044
0.088195,0.629022
0.544097,-0.185489
0.272049,0.407256
0.636024,-0.296372
0.318012,0.351814
-0.340994,-0.324093
-0.170497,0.337953
-0.085248,0.668977
-0.042624,0.834488
0.478688,-0.082756
0.739344,-0.541378
0.369672,0.229311
0.184836,0.614656
-0.407582,-0.192672
0.296209,-0.596336
0.648104,-0.798168
0.824052,-0.899084
0.912026,-0.949542
0.456013,0.025229
0.228007,0.512614
-0.385997,-0.243693
-0.692998,-0.621846
-0.346499,0.189077
-0.173250,0.594538
-0.586625,-0.202731
0.206688,-0.601365
-0.396656,-0.800683
0.301672,-0.900341
0.150836,0.049829
0.575418,-0.475085
