x,y
0.500000,-0.500000
0.750000,-0.750000
0.375000,0.125000
-0.312500,-0.437500
-0.156250,0.281250
0.421875,-0.359375
-0.289063,-0.679688
-0.644531,-0.839844
-0.822266,-0.919922
0.088867,-0.959961
0.544434,-0.979980
0.772217,-0.989990
-0.113892,-0.994995
-0.556946,-0.997498
0.221527,-0.998749
0.110764,0.000626
0.055382,0.500313
-0.472309,-0.249844
-0.736155,-0.624922
-0.868077,-0.812461
0.065961,-0.906230
0.532981,-0.953115
0.266490,0.023442
0.133245,0.511721
-0.433377,-0.244139
0.283311,-0.622070
-0.358344,-0.811035
-0.679172,-0.905517
-0.839586,-0.952759
0.080207,-0.976379
-0.459897,-0.988190
-0.229948,0.005905
-0.114974,0.502953
0.442513,-0.248524
-0.278744,-0.624262
-0.139372,0.187869
0.430314,-0.406065
-0.284843,-0.703033
0.357579,-0.851516
0.178789,0.074242
-0.410605,-0.462879
-0.705303,-0.731440
0.147349,-0.865720
0.573674,-0.932860
0.286837,0.033570
-0.356581,-0.483215
0.321709,-0.741607
0.160855,0.129196
0.580427,-0.435402
0.790214,-0.717701
0.395107,0.141150
0.697553,-0.429425
-0.151223,-0.714713
0.424388,-0.857356
0.712194,-0.928678
0.856097,-0.964339
0.928049,-0.982170
-0.035976,-0.991085
-0.017988,0.004458
-0.508994,-0.497771
-0.754497,-0.748886
0.122752,-0.874443
-0.438624,-0.937221
0.280688,-0.968611
0.140344,0.015695
-0.429828,-0.492153
-0.714914,-0.746076
-0.857457,-0.873038
-0.428729,0.063481
0.285636,-0.468260
0.142818,0.265870
-0.428591,-0.367065
-0.214296,0.316468
-0.607148,-0.341766
-0.303574,0.329117
-0.651787,-0.335442
-0.825893,-0.667721
0.087053,-0.833860
0.043527,0.083070
0.521763,-0.458465
-0.239118,-0.729233
-0.619559,-0.864616
-0.809780,-0.932308
-0.404890,0.033846
-0.702445,-0.483077
-0.851222,-0.741539
0.074389,-0.870769
0.537194,-0.935385
-0.231403,-0.967692
-0.615701,-0.983846
0.192149,-0.991923
-0.403925,-0.995962
-0.201963,0.002019
0.399019,-0.498990
0.199509,0.250505
0.599755,-0.374748
0.299877,0.312626
-0.350061,-0.343687
0.324969,-0.671843
0.162485,0.164078
0.581242,-0.417961
